,Track name,Artist name,Track uri,Popularity,Danceability,Energy,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration(ms),Key,Track type,sentiment,sentiment score
38,11 AM Blues,Aditya A,spotify:track:7qRdYNa76Z6Zh6ZUQNRday,23,0.732,0.588,-7.015,1.0,0.0367,0.523,0.0,0.0945,0.657,94.981,140801.0,5.0,Indie,None,0.0
39,11:11,TAEYEON,spotify:track:093PI3mdUvOSlvMYDwnV1e,0,0.445,0.528,-7.243,1.0,0.0744,0.677,0.0,0.155,0.511,203.155,223452.0,10.0,K-pop,Positive,29.599999999999998
40,11:11,TAEYEON,spotify:track:2Y4iTaIAamhYPyZcOdfL3g,41,0.445,0.528,-7.243,1.0,0.0744,0.677,0.0,0.155,0.511,203.155,223452.0,10.0,K-pop,Positive,29.599999999999998
41,"12 Concerti a cinque, Op. 7 - Concerto No. 10 in B-Flat Major for Strings: III. Allegro",Tomaso Albinoni,spotify:track:3WLDZaj42KUtRrYGRmPcIu,2,0.589,0.16,-18.692,1.0,0.0374,0.895,0.114,0.159,0.79,107.988,90000.0,10.0,Instrumental,Neutral,0.0
42,12 Dia 12,Sippy Gill,spotify:track:650UF67iPnxpIQINUnPQU8,48,0.784,0.826,-4.777,0.0,0.341,0.162,0.0,0.228,0.471,91.996,209641.0,5.0,"Punjabi, Student",None,0.0
43,1234,Feist,spotify:track:49CP2usyaN98EdtrOWXnal,63,0.71,0.484,-7.415,1.0,0.049,0.22,3.93e-06,0.0879,0.576,109.95,183667.0,2.0,Decades,Positive,80.28999999999999
44,12A12,VICE MENTA,spotify:track:3VBJjUHbgNMrrAp8QFKTAm,44,0.723,0.654,-5.109,0.0,0.045,0.494,1.47e-06,0.121,0.591,161.055,192609.0,6.0,RADAR,Negative,70.03
45,13 Missed Calls,Zach Hood,spotify:track:6KVFBsfbnaFFa43i4k0cce,56,0.639,0.724,-6.346,1.0,0.0664,0.452,0.0,0.159,0.522,129.712,209538.0,7.0,Pop,Negative,97.13000000000001
46,14,Kölsch,spotify:track:0g2E4GVRbs4XHy96dLiv9V,41,0.707,0.351,-15.53,1.0,0.0322,0.41,0.881,0.1,0.403,120.01,299281.0,0.0,Student,Neutral,0.0
47,15 Years,Vistas,spotify:track:5lmbiEhAum7m0lfijCdCYp,48,0.583,0.884,-4.965,1.0,0.041,0.00317,2.44e-06,0.0993,0.441,107.537,169202.0,10.0,RADAR,Positive,85.22
48,16 Flow,Nseeb,spotify:track:3pkkkTmbq4smIVMpaLpNmW,24,0.799,0.574,-8.132,1.0,0.267,0.0741,1.32e-06,0.101,0.399,85.031,201301.0,1.0,Punjabi,None,0.0
49,16yrs Remix (feat. Kan Sano),Kan Sano,spotify:track:3pzdhnz6HzXvCjZxSzDwiA,33,0.324,0.588,-5.689,0.0,0.0898,0.197,0.0,0.195,0.224,177.753,211968.0,11.0,RADAR,None,0.0
50,1718: Psycho (feat. Vincent Blue),KittiB,spotify:track:7HTIJkpEYLeQksqtU0vv8E,28,0.414,0.504,-7.976,0.0,0.042,0.473,1.01e-06,0.0786,0.308,129.491,271280.0,11.0,K-pop,Positive,95.17
51,18,One Direction,spotify:track:3JjnGLK8IxkNLvo8Lb3KOM,79,0.681,0.582,-7.76,0.0,0.0313,0.22,0.0,0.119,0.221,124.038,248360.0,6.0,Romance,Positive,97.04
52,1950,King Princess,spotify:track:0CZ8lquoTX2Dkg7Ak2inwA,77,0.6,0.535,-7.043,1.0,0.107,0.648,4.7e-06,0.162,0.269,71.912,225133.0,4.0,Pop,Positive,98.17
53,1973,James Blunt,spotify:track:1BV0m40U0M4t1SLIsDnwZl,68,0.72,0.668,-7.928,1.0,0.0269,0.0652,0.00664,0.0789,0.768,123.007,280027.0,9.0,Decades,Positive,86.38
54,1979 - Remastered 2012,The Smashing Pumpkins,spotify:track:3Y8Ff1nH44jFywAtpgmleZ,0,0.767,0.787,-9.897,1.0,0.0331,0.0163,0.583,0.0513,0.964,126.879,266200.0,3.0,Pop,Positive,14.610000000000001
55,1984,The Northern Lights,spotify:track:1mNU4DPNqZ8eSboAlpwEsd,43,0.479,0.68,-11.963,1.0,0.0656,2.33e-05,0.853,0.0586,0.386,104.054,209500.0,6.0,Student,None,0.0
56,1989,Vasts,spotify:track:5MLeS7gH48goD0uY0Ugwuy,45,0.207,0.0433,-28.723,0.0,0.0429,0.888,0.758,0.109,0.0735,71.359,175636.0,2.0,Instrumental,None,0.0
57,2 Cheene,Khan Bhaini,spotify:track:5fxWkzRSOyCH5i0pi6HHfu,48,0.555,0.742,-4.265,0.0,0.335,0.0917,0.0,0.297,0.682,180.147,190000.0,8.0,Punjabi,Positive,42.15
58,"2 Romanian Rhapsodies, Op. 11: No. 1 in A Major",George Enescu,spotify:track:7DNoskmAsoXOnrWGYvhXVU,28,0.215,0.304,-15.44,1.0,0.0405,0.918,0.843,0.101,0.131,82.282,695213.0,9.0,Instrumental,None,0.0
59,2 Years,Dept,spotify:track:2viVHeVDP4ia40yrCsCj3T,36,0.691,0.608,-3.549,1.0,0.0315,0.407,0.0,0.168,0.584,86.929,166724.0,7.0,K-pop,None,0.0
60,2 минуты,Markul,spotify:track:4VCeADBqj7tNKIPwjjIM4K,48,0.756,0.674,-7.036,0.0,0.0352,0.0782,0.0511,0.0804,0.429,103.982,150000.0,7.0,Pop,Neutral,0.0
61,2002,Anne-Marie,spotify:track:2BgEsaKNfHUdlh97KmvFyo,82,0.697,0.683,-2.881,0.0,0.117,0.0372,0.0,0.137,0.603,96.133,186987.0,1.0,Pop,Positive,98.29
62,2019 Flow,Sikander Kahlon,spotify:track:4gn1iBFAbD8LPupvMoA2Lp,21,0.693,0.604,-6.502,1.0,0.238,0.00966,0.0,0.268,0.157,93.75,150745.0,1.0,Student,None,0.0
63,2021,Varinder Brar,spotify:track:5WxAzM8oWbgBGLaqb2GJr5,42,0.732,0.667,-8.136,0.0,0.223,0.0636,0.0,0.41,0.492,87.967,180000.0,9.0,Punjabi,None,0.0
64,2021 Flow,Sikander Kahlon,spotify:track:14KeYswwWbwWtLf88SjeBj,32,0.613,0.745,-5.66,0.0,0.412,0.0996,0.0,0.264,0.524,93.754,274673.0,4.0,Punjabi,None,0.0
65,21 Guns,Green Day,spotify:track:64yrDBpcdwEdNY9loyEGbX,75,0.268,0.742,-4.939,1.0,0.0355,0.0518,0.0,0.626,0.416,159.779,321093.0,5.0,Decades,Negative,87.67
66,21 Va,Babbal Rai,spotify:track:1lGBlNLVKwcteq6i0j2jp2,28,0.641,0.924,-0.932,0.0,0.279,0.349,0.000318,0.13,0.754,175.69,256069.0,3.0,Punjabi,None,0.0
67,22 (OVER S∞∞N),Bon Iver,spotify:track:5oK98mpTJSU0iqLHN1hZ3y,54,0.298,0.112,-15.765,1.0,0.0353,0.972,0.0823,0.0935,0.0972,86.786,168000.0,1.0,"Indie, Decades",Neutral,0.0
68,24 (Twenty Four),Adeeth,spotify:track:6TcW32lJfjM8moN4BoAoUa,10,0.718,0.808,-4.358,1.0,0.0427,0.206,3.14e-06,0.0928,0.414,102.011,220000.0,0.0,Student,Positive,64.86
69,24/7,EXO,spotify:track:6EjU5hbaHHtzuZUGkH0cJQ,49,0.762,0.594,-5.465,1.0,0.0481,0.1,0.0,0.123,0.337,98.025,243324.0,0.0,K-pop,Neutral,0.0
70,25 Ghante,Dilpreet Dhillon,spotify:track:3bouHSDyoXEoFhCljCWb8E,45,0.711,0.684,-4.363,1.0,0.115,0.26,0.0,0.118,0.662,175.886,207955.0,0.0,Punjabi,None,0.0
71,263,Gemma Griffiths,spotify:track:1Hy3qVMiUN6yldTRt2tq7w,28,0.796,0.786,-5.328,1.0,0.0775,0.086,7.88e-06,0.265,0.458,95.005,214048.0,7.0,RADAR,None,0.0
72,"28 Kille (From ""Laavaan Phere"")",Gippy Grewal,spotify:track:5nDOoFYrDIfmbvvN7J3gd1,28,0.715,0.908,-1.952,1.0,0.169,0.0175,1.15e-05,0.0904,0.879,171.982,206973.0,0.0,Punjabi,Neutral,0.0
73,2am,Karan Aujla,spotify:track:65CbgMolzhCQuyZfKuQ7jS,53,0.602,0.678,-7.516,0.0,0.113,0.206,0.0,0.21,0.558,159.899,257149.0,11.0,"Punjabi, Romance",Neutral,0.0
74,2easy (feat. Heize),NIve,spotify:track:1aRgsJJJMIAaZgiOtGRMl0,54,0.694,0.577,-6.693,0.0,0.0526,0.311,5.58e-05,0.385,0.345,94.971,219973.0,5.0,K-pop,Neutral,0.0
75,3 (Moonu) Mash-Up by Saumi,Saumi Music,spotify:track:1KNo5NlOXG6Jtpj3cD177X,18,0.644,0.0543,-18.366,0.0,0.0378,0.938,0.0,0.118,0.46,99.914,451082.0,3.0,"At home, Student",None,0.0
76,"3 Concert Études, S. 144: No. 3 in D-Flat Major, ""un sospiro""",Franz Liszt,spotify:track:6wwvz4l47XJgtTNNTRPYLv,31,0.238,0.0639,-24.819,1.0,0.0396,0.99,0.928,0.175,0.0345,67.716,341947.0,1.0,Instrumental,None,0.0
77,"3 Nouvelles études, B. 130 (Live): II. Etude No. 26 in A-Flat Major",Frédéric Chopin,spotify:track:0SzeTxpsFn5TaHHEkkLQqz,34,0.211,0.00954,-36.692,1.0,0.0373,0.996,0.947,0.102,0.0844,74.137,151000.0,8.0,Instrumental,Neutral,0.0
